  Wl(nm)  HCRF  Rso  Rdo  Rsd  Rdd  ABSs  ABSd
       682       0.02742544       0.02518569       0.03605332       0.02794424       0.03504719       0.90700150       0.81786571
       683       0.02780942       0.02556479       0.03647564       0.02866963       0.03577141       0.90618040       0.81715151
       684       0.02828645       0.02603635       0.03699459       0.02959810       0.03669186       0.90509549       0.81617557
       685       0.02888146       0.02662428       0.03763701       0.03076315       0.03784271       0.90371641       0.81491953
       686       0.02962061       0.02736293       0.03842907       0.03222735       0.03927751       0.90194715       0.81327395
       687       0.03037868       0.02831813       0.03944444       0.03407656       0.04108421       0.89971609       0.81120224
       688       0.03162763       0.02953187       0.04071348       0.03636826       0.04330900       0.89693549       0.80860456
       689       0.03321146       0.03105248       0.04228532       0.03916433       0.04601119       0.89353998       0.80543126
       690       0.03511526       0.03294268       0.04422032       0.04253483       0.04925565       0.88945721       0.80162737
       691       0.03742423       0.03522909       0.04652975       0.04651070       0.05305966       0.88461695       0.79710126
       692       0.04015144       0.03794283       0.04924801       0.05110970       0.05744176       0.87901598       0.79187272
       693       0.04328149       0.04110597       0.05239742       0.05633945       0.06240830       0.87265220       0.78595261
       694       0.04685795       0.04471855       0.05596771       0.06218546       0.06793647       0.86551680       0.77931692
       695       0.05093812       0.04878681       0.05996778       0.06863874       0.07401824       0.85762391       0.77199106
       696       0.05542771       0.05326984       0.06435645       0.07561954       0.08057623       0.84906434       0.76406211
       697       0.06036349       0.05817981       0.06915079       0.08313874       0.08762288       0.83982565       0.75552922
       698       0.06560101       0.06345177       0.07427844       0.09109056       0.09505119       0.83000929       0.74647013
       699       0.07110820       0.06904357       0.07970467       0.09941039       0.10280424       0.81969614       0.73696956
       700       0.07698360       0.07494771       0.08542643       0.10807756       0.11086513       0.80891816       0.72706683
       701       0.08311297       0.08112322       0.09141115       0.11703389       0.11918422       0.79775069       0.71683981
       702       0.08937951       0.08743040       0.09751520       0.12607954       0.12756972       0.78641878       0.70647789
       703       0.09582390       0.09390520       0.10377553       0.13527510       0.13607930       0.77483993       0.69590434
       704       0.10237593       0.10048032       0.11012763       0.14452585       0.14462595       0.76313245       0.68522738
