wl(nm),dif/tot veg smoothed
1838,0.039054114
1839,0.039385638
1840,0.03999204
1841,0.040004066
1842,0.030361774
1843,0.030401021
1844,0.030382952
1845,0.030830029
1846,0.030927385
1847,0.031398402
1848,0.031273493
1849,0.03068633
1850,0.02348827
1851,0.022791215
1852,0.02537717
1853,0.025011687
1854,0.025660758
1855,0.030677798
1856,0.030626792
1857,0.030549271
1858,0.030443721
1859,0.030313899
1860,0.030297634
1861,0.03024951
1862,0.030647644
1863,0.03126281
1864,0.031734929
1865,0.0313336
1866,0.031433318
1867,0.031520764
1868,0.031017276
1869,0.031101007
1870,0.031106239
1871,0.038133075
1872,0.038732462
1873,0.037001921
1874,0.036836067
1875,0.036894062
1876,0.031774259
1877,0.031932033
1878,0.033066069
1879,0.033048483
1880,0.032927543
1881,0.032729619
1882,0.032317572
1883,0.031300659
1884,0.030492989
1885,0.030167895
1886,0.030394585
1887,0.030103884
1888,0.029899079
1889,0.029549669
1890,0.029263073
1891,0.029525524
1892,0.02983229
1893,0.029751233
1894,0.029761221
1895,0.029971744
1896,0.027754622
1897,0.027754428
1898,0.027704038
1899,0.026572379
1900,0.026553354
1901,0.026396487
1902,0.02633441
1903,0.025654491
1904,0.025994838
1905,0.026021105
1906,0.025639713
1907,0.025658828
1908,0.025675514
1909,0.025669263
1910,0.025785932
1911,0.026719933
1912,0.026287529
1913,0.025848377
1914,0.025773721
1915,0.025644524
1916,0.025518759
1917,0.027521048
1918,0.027556128
1919,0.027059023
1920,0.026785485
1921,0.026708666
1922,0.026929248
1923,0.026824334
1924,0.027167127
1925,0.02561703
1926,0.02575322
1927,0.025637688
1928,0.025515069
1929,0.025685621
1930,0.025555554
1931,0.025505454
1932,0.024307407
1933,0.024290914
1934,0.024359768
1935,0.0243336
1936,0.024500678
1937,0.02416251
1938,0.024241209
1939,0.024184962
1940,0.024657648
1941,0.024846277
1942,0.024907565
1943,0.02505076
1944,0.025030638
1945,0.025392652
1946,0.027095245
1947,0.026884882
1948,0.027130823
1949,0.027196574
1950,0.026954033
1951,0.027180039
1952,0.026682124
1953,0.026982065
1954,0.027098042
1955,0.027107329
1956,0.027390677
1957,0.027361001
1958,0.028018896
1959,0.028059268
1960,0.028209493
1961,0.028414736
1962,0.028496757
1963,0.028456428
1964,0.028555276
1965,0.028666499
1966,0.028828605
1967,0.028885496
1968,0.029339972
1969,0.029632351
1970,0.030089155
1971,0.030101551
1972,0.030272685
1973,0.03118914
1974,0.031336986
1975,0.031704614
1976,0.031969388
1977,0.032116461
1978,0.031703891
1979,0.031664744
1980,0.032012442
1981,0.03184469
1982,0.031886262
1983,0.032196742
1984,0.032561782
1985,0.032413605
1986,0.032692366
1987,0.032715864
1988,0.032790625
1989,0.032422456
1990,0.03219867
1991,0.031886548
1992,0.031959688
1993,0.031641835
1994,0.031425071
1995,0.031323283
1996,0.031048039
1997,0.03066111
1998,0.030128788
1999,0.030496261
2000,0.03045519
2001,0.030072866
2002,0.030227661
2003,0.029923054
2004,0.029613341
2005,0.029397362
2006,0.029317621
2007,0.029204338
2008,0.028905801
2009,0.028798795
